0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,1974,,,2758,2790,,,2796,,,,,,2654,,,,,2640,,,,,,,,,,,,2831,,,,,,,,,2786,,3110,,,2957,2840,,,,,,,,,,,,,,,,,2923,,,,,,,,2935,,,,,,,,,,,,2850,,,2775,,1576,,2867,,,,,,,,,2803,3004,,,,,2581,,,,,,,,,3040,,,,,,,,,,,,,,,,,,,1619,1831,,,2669,2796,,1183,,,,,,,,,,,,,,,,,,,1624,,,,,,,,,,1813,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,,,,,,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,766,,,1550,1768,,2356,1590,,1583,2093,,,1641,1735,,2181,,1518,,,,,,,,1829,,1575,,1691,,,,,,,,1907,1867,,2145,,,1819,1813,,,,,1689,1741,1967,,,,,,,,,2616,1752,571,,,,2446,,,1924,,,,,,,,,,,,1857,,,,,,,1863,,,,1117,,,,,1945,1860,,1898,2906,,1715,,,,,,,,,2094,,,709,,,,,,,,,,,,,,2753,,768,753,,,1815,1732,,,,2243,,,,,,,,3374,,,2720,,,1712,,,,,,2963,,2630,2331,,,,,,,2472,2192,2641,,,,,,
,,,,0,,534,,,,,572,,,,499,,,,,,,,,1096,,1094,,,,,,,,,,383,,1132,,,439,,,,,1212,1793,,,,,1224,,,,,,,833,,,,,,,,,483,,1039,,,,,,,,,,,,,,,,,,,,,,,,,1001,,,,,,,,,,,,1231,,,2108,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,1394,,,,,,,,,,,,,,,,511,714,641,,,,,,,,,,,,,,,,,,1916,,,,,,
,,,,,0,,,,,,1179,1579,,2071,1206,,1393,1792,,,1466,1458,,,,1260,,,,,,,,1524,,1185,,1411,,,,,,,,,1739,,1976,,,1536,1619,,,,,1357,1387,,,,,2295,,,,,2378,1438,,,1694,,2074,2056,2616,1735,,,1929,,,,,,,,,1683,,,,,,,1681,,,,,1490,,1865,,1848,1571,,1553,2600,,1629,,,,,,,,,1939,,,,,,,,,,,,,,,,,2480,,838,,,,1728,1514,,,,1908,,,,,,,,3062,,,2449,,,,,,,,,2663,2357,2270,1974,,,,,,,2165,1887,2350,,,,,,
,,,,534,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341,,,,,,,,,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,1457,,,,,,,,,,,,,1261,1123,,,,,,,,,,268,1058,,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,,,,,,,,,,404,,,,,,,,299,,2408,,,,1798,,,,,,,,,,,,,,,,,,,,,,1634,,,,,,,,,,,,,218,,,
,1974,,766,,,,,0,,,784,1274,,,831,,,,,,,1084,,,1522,907,,,,,,,,1133,,876,,1035,,,,,,,,,1485,,1677,,,,1308,,,848,1028,,,,,,2032,,,,,,,,276,,,,,,,,,,,,,,,,,,2174,1388,,,,,,241,1380,,,,,,,,831,,,,,2203,899,,,,,,,,,,1653,,,202,,,,,,,,,,,,,,,,883,539,,,,1186,,809,,1505,,,2195,2245,,,,,,,,626,,948,,,579,2258,,,,1869,,,866,,,,,,1493,,,,,,,
,,,,,,,,,0,,870,,,,695,,,,,,,,,,,1577,,,,,,,,,,465,,1509,,,,,,,,,,,,,,1539,,,,493,,,,,,,,,,,,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,525,,,,,,,,,,707,,,,,,,,,,,,,,,,,1838,,,,,,,,,,,,,,,,978,,725,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
